run_id,source,item_index,title,summary,keywords,supertag,status
6d2253a44274422eab41f40b487326dc,011_ner_RFI_FR_journal_des_sports_afrique_MZ534734,1,Un joueur sénégalais choisi en 10e position lors de la draft NBA : la consécration de Malo H et son passage chez les Suns de Phoenix,"Le jeune joueur Sénégalais, âgé de 18 ans et mesurant deux mètres 18, a été choisi en 10e position lors de la draft NBA. Malo H, un des plus suivis par les observateurs, s'est déjà illustré à plusieurs reprises dans trois éditions de la Balle aux Jeux Olympiques et a fréquenté les rangs de l'académie de la NBA à Sali. Maintenant qu'il est choisi par les Houston Rockets, ce qui ont immédiatement échangé avec les Suns de Phoenix au moment de l'annoncé, Malo H ne peut retenir ses larmes : « C'est un jour si spécial pour moi, un jour que je n'oublierai jamais ». Cette consécration est une preuve que le rêve peut devenir réalité quelque part dans le monde, et Malo H est impatient de porter le maillot des Suns avec son nom dessus.","NBA Draft, Sénégal, Malo H, Basket-ball, Recrutement",Sports,completed
68234b38014d41b88c669bb04586e1f8,018_ner_MZ441106_F24_EN_Eye_on_Africa,2,Death toll rises to 200 in Niger State floods as rescuers search for survivors,"The death toll from flash floods that have ravaged parts of Niger State in north-central Nigeria has risen to 200 people. Rescuers are tirelessly sifting through mud and debris searching for survivors and victims while hundreds of people remain missing. There's also growing concern over the risk of the spread of disease. In Mokwa, the hardest-hit area, at least 500 households have been affected by the floods, said to be the worst in living memory. Witnesses say that the downpour that hit Mokwa are the worst in living memory. The sudden and intense floods built up rapidly in just a few hours. Roads were washed away, hundreds of families affected and thousands displaced. Heavy machinery is aiding with efforts to recover bodies and remove debris. Many are still missing, but hopes of finding survivors have faded as authorities have halted search and rescue operations.","Nigeria floods, flash floods, Mokwa, death toll, rescue operation",Africa,completed
9562b1609c26485e8ee3244c64620323,017_ner_MZ447971_F24_EN_Down_Earth,3,Fast Fashion Waste Crisis: The Atacama Desert Becomes a Dumping Ground,"Chile's duty-free port in Iquique has become a hub for fast fashion exports, leading to an overproduction of clothes. With no legal landfills for textile waste, most of these clothes end up in the Atacama Desert, the driest place on Earth. This has led to environmental degradation and health issues for local residents. The EU is working towards implementing regulations to tackle this issue at its root, including making fashion brands responsible for their waste and requiring a digital passport for goods sold within the block.","Fast Fashion, Textile Waste, Atacama Desert, Chile, Environment",Environment,completed
fd9278ef04a7476cbd8fe509e625ed5f,014_ner_MZ450564_F24_EN_The_Debate,4,Europe's Heatwave: Adapting to a Warmer Climate,"In light of the ongoing heatwave across Europe, this article explores the challenges faced by France in adapting its schools and infrastructure to increasingly hot temperatures. In particular, the discussion revolves around the need for air conditioning, the impact on energy consumption, and potential alternatives such as water loop systems and building renovation.","heatwave, France, summer, air conditioning, climate change",Environment,completed
3051c72d716343b7a7bc03510c47c9cf,015_ner_MZ449146_F24_EN_The_Debate,5,In Venice for a spectacle Fellini would approve of: Jeff Bezos' extravagant wedding,"Jeff Bezos ties the knot with journalist Lawrence Sanchez in an opulent ceremony that draws both paparazzi and protesters. Organizers are attempting to manage the excesses by pledging donations to charity, but critics question whether money can buy happiness or absolve him of his wealth's impact on society. Simone Venturini, deputy mayor of Venice, discusses the city's complex relationship with tourism and its third richest resident.","Venice, Jeff Bezos, Wedding, Billionaire, Luxury",Europe,completed
495132b7648e4fdfaa01fe1f474b18f8,005_ner_V13_F24_FR_En_tete_tete_MZ505571,6,Russie : Ilya Yashin évoque sa peur de Vladimir Poutine après deux années passées en prison,"L'opposant russe Ilya Yashin, célèbre pour sa critique du président Vladimir Poutine, a été condamné à huit ans et demi de prison en 2022 pour avoir critiqué l'invasion russe de l'Ukraine. Il a été libéré en août 2024 dans le cadre d'un échange de prisonniers entre la Russie et les pays occidentaux et vit maintenant à Berlin. Yashin, qui a donné sa parole de ne pas quitter la Russie de son propre chef, a été chassé du pays et affirme que le régime de Poutine est une menace pour l'avenir de la Russie. Il évoque également la mort d'un autre opposant russe, Boris Nemtsov, et déclare qu'il cherche à réunir les différents courants de l'opposition russe en exil.","Ilya Yashin, Vladimir Poutine, Russie, prison, Boris Nemtsov",Europe,completed
106c207ff2354d05bb739d6875fabb13,001_F24_FR_Focus_MZ508039,7,"Ruili, le marché de la jadéite : entre trafic illégal et beauté symbolique","L'industrie du jade en Birmanie est connue pour sa complexité et ses problèmes. Les pierres vertes sont dévorées par les clients chinois, mais leur extraction provoque des glissements de terrain mortels, une absence totale du droit du travail et des conflits armés dans les zones minières. Le jade impérial est souvent importé en contrebande tandis que les pierres de qualité inférieure finissent à ruiner. Les commerçants transfrontaliers et travailleurs immigrés souffrent encore des conséquences de la guerre civile et d'un tremblement de terre.

Aujourd'hui, l'importation de pierres africaines fait ses apparitions, mais la question de l'éthique reste un sujet important à aborder. L'importance culturelle des pierres vertes en Chine est difficile à éradiquer, quelle que soit leur impact social ou environnemental.","Jade, Birmanie, Conflit armé, Mines illégales, Contrebande",Environnement,completed
74a74b0649204f48942cbd9fc31cda19,002_ner_F24_FR_Focus_MZ507012,8,Les femmes indiennes trouvent un salut dans l'économie bleue : la culture d'algues,"En Inde, le manque de ressources halieutiques entraîne la recherche d'autres solutions économiques. Une femme a démontré la viabilité de la production d’algues marines pour la population pauvre en utilisant l'espèce Capaficus alverasi importée d'Indonésie, de Malaisie et du Sri Lanka. Cette espèce est préférée aux variétés locales car elle pousse plus rapidement et est donc plus profitable. Après neuf ans de culture, celles-ci fournissent des rendements considérables : chaque mois, ces femmes vendent environ 300 kg qui rapportent plus de 180 €, le salaire moyen en Inde. L'entreprise Aqua Agri prend également des parts dans cette production en cherchant à créer un cuir végétal et des biostimulants pour les fertilisants.","Inde, algues marines, économie bleue, culture d'algues, cuir végétal",Économie / Technologie,completed
b2caad4c78564eeba1a00f55f0d84058,013_ner_MZ450258_F24_EN_EYE_ON_AFRICA,9,DR Congo's President Chisakedi Hails Historic Peace Agreement with Rwanda,"Three days since the Democratic Republic of the Congo and Rwanda signed a historic deal aiming to end the M23 conflict in eastern Congo, reactions have been mixed. The country’s president, Felix Chisakedi, hailed the agreement as a step towards peace, but skepticism remains whether it will change the situation on the ground.","DR Congo, Rwanda, M23 conflict, peace deal, Felix Chisakedi",Africa,completed
346f461cab3442a7bc3e2797d700dc50,007_ner_RFI_FR_le_grand_invite_afrique_MZ535057,10,Rwanda et RDC signent un accord : la montée en puissance de l'M23 en suspens,"L'accord entre les deux pays doit aboutir au retrait des forces armées rwandaises et à des opérations contre le FTLR, rebelles rwandais impliqués dans l'insurrection congolaise. Cependant, l'absence de l'M23 aux négociations est préoccupante car ce groupe contrôle une grande partie du Nord-Kivu, où se trouvent les conflits recents. L'objectif ultime est d'inciter les deux côtés à investir dans la paix plutôt qu'instabilité économique. Cependant, le M23 n'a pas été invité à signer cet accord et sa présence sur le terrain rendra difficile son effondrement.","Rwanda, RDC, M23, FLTR, Accord, Conflit",Afrique,completed
